S.no,Review
1902,The echo plus is very straight forward and easy to use.  It plays great sounding music and can do lots of other things.  Still learning what all it can do.  Working very well so far.
1903,We have used for last 2 weeks. We like it. My children also like it. Alexa has become part of our family.
1904,Terrible. Stopped working after one day.
1905,"better sound than my echo dot. Simple to set up, less than 5 minutes."
1906,Nice toy to have around!
1907,"It does not speak in Spanish,,,I bought it for my grandmother to have someone to talk to when I’m not around,,,,,no Spanish!"
1908,Love all the cool thing I can do!
1909,Great product
1910,Like it. Still working discovery. Really too soon to fully evaluate. But looking forward to learning and using it.
1911,"When I got this Echo I was excited to have a device with better sound than my Dot and a hub to control some Hue bulbs.What I didn't realize and also wasn't fully communicated to me, is that you can't use Hue bulbs to their full potential with this device. You can only turn on and off the lights and set them to a number of preset colors. You also cannot update the bulbs to the newest firmare which is a security concern for me.Do not buy this if you want a full featured hub for your new IoT devices. If you do, you will end up needing to update to a standalone hub, which makes the hub inside this device redundant and pointless.I still love the echo and have zero complaints about the Alexa functionality or sound quality of this device. I'm only disappointed with the hub's functionalities."
1912,Still needs some work on commands. Sound is equal in the regular echo so if you don't need a smart hub get a regular echo. The sound is ok with it had as much bass as my old soundlink but I mean hey gets loud on the treble and sounds clear.
1913,"I love my echo plus. I use it with my Spotify account, to find my phone, make phone calls,  turn our lights off and on, much more. Most importantly it reads story to my children.  They love it and that makes me happy."
1914,Excellent why didn’t I think it is in the beginning I love it
1915,"Bye bye Philips hub and expensive monthly internet charge!  Took a little tinkering, had to rest the individual bulbs, but works great! No more, &#34;Philips hue bridge is not responding&#34; message."
1916,"Works great! Exactly as described. Only complaint I have is sometimes Alexa gets confused with smart home product names and i had to go back and change some stuff around, but i chalk that up to my inexperience with smart home stuff."
1917,I love it. Use it mostly for the music huge repertoire to choose from
1918,Very easy to hook up. Download the app and it walks you through the setup
1919,"I am so disappointed in this product.  I tried to install two different units and neither one of them were successfully completed.  Hours with Amazon technicians.. resetting each of them.  The app didn't connect the Echo Plus to the internet connection.  Tried using the application on a phone, a tablet and on a Chromebook... No luck.  There are no clean directions on the application.  Probably sending this back to Amazon..mark this as Not ready for prime time."
1920,Well behaved device that i enjoy using.
1921,Easy setup and sound quality.
1922,I really love the hub feature
1923,What a blast!  We love Echo...  Just learning all the tricks but lots of fun and helpful too!
